"Cell.line" "Timepoint" "Plate" "Well" "Rep" "Batch" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv" "Total.Cells" "All.Nuclei.Mean.Integr.Itensity" "Positive.W2.Mean.Stain.Area" "Positive.W2.Mean.Stain.Integr.Intens" "Cell.Positive.W2.Mean.Stain.Area"
"2445" 1434 "90min" 2 "F14" 1 1 NA 0 "Media" 938.890411 2071.125245 1132.234834 0 0 35 35.0070792 23.36578581 2087 13.91782606 0.006668819 1148.109589 13.91782606 0.012122385 2.569852941 0.082521671 0.032111437 0.389508531 0.012236413 0.031415008 1.35 0.066421116 0.049200827 0.428571429 0.062762056 0.146444797 0.921428571 0.061280112 0.066505548 2.202380952 0.393620343 0.178724913 1856 1758504.375 644.751465 5007811.5 0.347387643
"2451" 1434 "90min" 2 "F15" 1 1 NA 0 "Media" 902.7084149 1946.549902 1043.841487 0 0 35 35.62332636 23.36578581 1961.8 15.56920036 0.007936181 1059.091585 15.56920036 0.014700523 2.525735294 0.085830456 0.033982364 0.396365245 0.013383939 0.033766682 1.260714286 0.063386569 0.050278298 0.375 0.042874646 0.11433239 0.885714286 0.055666323 0.062849074 2.4 0.395955863 0.16498161 2121 1858504.5 608.759399 4950568 0.287015275
"2457" 1434 "90min" 2 "F2" 1 1 141 25 "DMSO" 1390.399217 1390.399217 0 0 0 0 0 0 1390.399217 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 2 875056 0 0 0
"2463" 1434 "90min" 2 "F20" 1 1 NA 0 "DMSO" 956.1937378 2085.649706 1129.455969 0 0 35 35.94204998 23.36578581 2098.914286 14.72167555 0.007013948 1142.720548 14.72167555 0.012883006 2.503676471 0.089639926 0.035803319 0.399911544 0.01436615 0.035923318 1.307142857 0.070076489 0.053610429 0.410714286 0.064820372 0.157823515 0.896428571 0.077208383 0.086128874 2.252380952 0.498971865 0.221530849 2091 1771532.375 620.280762 4946404 0.296643119
"2469" 1434 "90min" 2 "F21" 1 1 NA 0 "DMSO" 955.5459883 2092.819961 1137.273973 0 0 36 36.83126626 24.03337969 2122.5 18.77612466 0.008846231 1166.954012 18.77612466 0.016089858 2.442857143 0.082151991 0.03362947 0.409805466 0.013749004 0.033550076 1.295138889 0.067828419 0.052371541 0.402777778 0.052704628 0.130852869 0.892361111 0.060892013 0.068236964 2.252314815 0.326407885 0.144921075 2063 1756595.625 610.353455 4723058 0.295857225
"2475" 1434 "90min" 2 "F22" 1 1 142 10 "DMSO" 930.4657534 2067.315068 1136.849315 0 0 71 71.16336219 47.39916551 2082.014085 17.79927202 0.008549064 1151.548331 17.79927202 0.015456817 1.266071429 0.063564944 0.050206444 0.791803752 0.039718806 0.050162437 0.778169014 0.052598475 0.067592611 0.242957746 0.035902422 0.147772288 0.535211268 0.056628089 0.105805113 2.307511737 0.779014379 0.337599314 2073 1827524 640.349487 5163511 0.308899897
"2481" 1434 "90min" 2 "F23" 1 1 141 25 "DMSO" 1351.41683 1351.41683 0 0 0 0 0 0 1351.41683 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 0 0 0 0 NA
"2487" 1434 "90min" 2 "F3" 1 1 142 10 "DMSO" 1017.69863 2364.863014 1347.164384 0 0 67 66.99772727 44.72878999 2376.940299 18.87910549 0.007942608 1359.241668 18.87910549 0.01388944 1.34469697 0.066000459 0.049082032 0.745454545 0.037147724 0.049832312 0.833955224 0.059145028 0.070921107 0.264925373 0.040838675 0.154151618 0.569029851 0.062627076 0.110059385 2.196517413 0.393470885 0.17913397 2023 1867848.5 634.887878 5283530 0.313834838
"2493" 1434 "90min" 2 "F4" 1 1 NA 0 "DMSO" 839.667319 1689.105675 849.4383562 0 0 37 37.77202729 24.70097357 1706.864865 13.88876877 0.008137005 867.1975459 13.88876877 0.016015692 2.381944444 0.078742599 0.033058117 0.420272904 0.013945691 0.033182466 1.189189189 0.063338964 0.05326231 0.331081081 0.060497189 0.182726204 0.858108108 0.052392103 0.061055364 2.702702703 0.6396555 0.236672535 1988 1674648.5 613.361389 4548715.5 0.308531886
"2499" 1434 "90min" 2 "F5" 1 1 NA 0 "DMSO" 843.5890411 1741.612524 898.0234834 0 0 36 36.56096551 24.03337969 1756.972222 13.22872656 0.007529275 913.3831811 13.22872656 0.014483217 2.460714286 0.078890681 0.032060073 0.406797947 0.013238597 0.032543422 1.236111111 0.058077671 0.046984183 0.340277778 0.056782095 0.166869831 0.895833333 0.063386569 0.0707571 2.740740741 0.688274175 0.251127064 2029 1858016 633.527588 5311651.5 0.312236367
"2505" 1434 "90min" 2 "K10" 1 1 NA 0 "Media" 861.0587084 1751.67319 890.6144814 0 0 35 35.52262608 23.36578581 1773.085714 15.06138699 0.008494449 912.0270059 15.06138699 0.01651419 2.533088235 0.088702898 0.03501769 0.395244796 0.013835933 0.035005984 1.275 0.059098621 0.04635186 0.364285714 0.055666323 0.152809514 0.910714286 0.057293656 0.062910681 2.580952381 0.58594852 0.227028024 1913 1662982.5 537.483521 3651296 0.280963681
"2511" 1434 "90min" 2 "K11" 1 1 NA 0 "Media" 925.4168297 1879.031311 953.6144814 0 0 35 35.88639982 23.36578581 1896.771429 13.77996353 0.007264957 971.3545988 13.77996353 0.014186337 2.507352941 0.086718242 0.034585574 0.399292349 0.013872551 0.034742842 1.271428571 0.047798158 0.037594057 0.375 0.052510503 0.140028008 0.896428571 0.056601957 0.063141625 2.457142857 0.531819016 0.216437972 1896 1816567.25 665.365601 5285435 0.350931224
"2517" 1434 "90min" 2 "K12" 1 1 NA 0 "DMSO" 962.5499022 2167.692759 1205.142857 0 0 34 35.17657746 22.69819193 2181.323529 11.78782265 0.005403977 1218.773627 11.78782265 0.009671872 2.556818182 0.070509509 0.027577053 0.391394464 0.010599299 0.02708086 1.308823529 0.06333005 0.048387004 0.404411765 0.053820193 0.133082659 0.904411765 0.061996636 0.068549126 2.276960784 0.346774816 0.152297228 2002 1679581.125 575.053528 4056675.5 0.287239524
"2523" 1434 "90min" 2 "K13" 1 1 NA 0 "DMSO" 1017.250489 2534.712329 1517.46184 0 0 35 35.1085022 23.36578581 2552.285714 18.78292627 0.007359257 1535.035225 18.78292627 0.012236153 2.5625 0.082858496 0.032335023 0.39063702 0.012536714 0.032093 1.460714286 0.058876027 0.040306327 0.467857143 0.055429947 0.118476222 0.992857143 0.052007999 0.052382157 2.161904762 0.36151848 0.167222205 1992 1711611.375 630.943237 4849073.5 0.316738573
"2529" 1434 "90min" 2 "K14" 1 1 NA 0 "Media" 868.518591 1813.502935 944.9843444 0 0 34 34.88095929 22.69819193 1832.323529 12.72011194 0.006942067 963.8049384 12.72011194 0.013197807 2.579545455 0.087378162 0.033873472 0.388105249 0.013411132 0.034555399 1.257352941 0.052775041 0.041973132 0.360294118 0.040879371 0.113461112 0.897058824 0.065065441 0.072531967 2.549019608 0.555852565 0.218065237 2091 1723948.75 602.6922 4568976 0.288231564
"2535" 1434 "90min" 2 "K15" 1 1 143 0.5 "DMSO" 843.5068493 1802.041096 958.5342466 0 0 35 34.80110135 23.36578581 1820.457143 14.20302962 0.007801903 976.9502935 14.20302962 0.014538129 2.584558824 0.073601791 0.028477507 0.387216705 0.010984869 0.028368789 1.271428571 0.064209806 0.050502094 0.382142857 0.042257713 0.110580931 0.889285714 0.066223139 0.074467787 2.361904762 0.383984346 0.162574017 2016 1822586.125 623.866516 4949949.5 0.309457597
"2541" 1434 "90min" 2 "K16" 1 1 NA 0 "DMSO" 935.8082192 2073.37182 1137.563601 0 0 36 36.13277479 24.03337969 2099.222222 15.58224468 0.007422866 1163.414003 15.58224468 0.013393551 2.489285714 0.070263609 0.028226414 0.402033656 0.011387543 0.028324851 1.326388889 0.068646206 0.051754208 0.399305556 0.050173311 0.125651422 0.927083333 0.0625 0.06741573 2.356481481 0.324655563 0.137771319 1961 1723811.75 625.204834 4692693 0.318819395
"2547" 1434 "90min" 2 "K17" 1 1 NA 0 "DMSO" 964.7279843 2138.990215 1174.262231 0 0 34 34.56821461 22.69819193 2153.882353 17.06984707 0.007925153 1189.154369 17.06984707 0.01435461 2.602272727 0.079393117 0.030509145 0.384625476 0.011702393 0.030425424 1.371323529 0.057449699 0.041893614 0.426470588 0.069615061 0.163235315 0.944852941 0.076569292 0.081038317 2.301470588 0.579901415 0.251969944 1941 1722286.25 612.781677 4769099.5 0.31570411
"2553" 1434 "90min" 2 "K18" 1 1 NA 0 "DMSO" 851.0215264 1796.227006 945.2054795 0 0 35 35.56839894 23.36578581 1812.085714 15.44320035 0.008522334 961.0641879 15.44320035 0.016068854 2.529411765 0.081758743 0.032323224 0.395754091 0.012925956 0.032661586 1.242857143 0.060199249 0.048436177 0.371428571 0.047798158 0.128687347 0.871428571 0.056601957 0.064953065 2.397619048 0.45197719 0.188510844 1970 1743102.75 632.591309 4895611 0.32111234
"2559" 1434 "90min" 2 "K19" 1 1 NA 0 "DMSO" 850.555773 1780.700587 930.1448141 0 0 36 36.29495525 24.03337969 1804.194444 11.93989577 0.006617854 953.6386715 11.93989577 0.012520356 2.478571429 0.077208383 0.031150356 0.403838167 0.012564863 0.03111361 1.267361111 0.053056387 0.041863669 0.375 0.051754917 0.138013112 0.892361111 0.060892013 0.068236964 2.444444444 0.529674953 0.216685208 1866 1723449.875 664.556335 5096400 0.356139515
"2565" 1434 "90min" 2 "K2" 1 1 141 25 "DMSO" 1442.497065 1442.497065 0 0 0 0 0 0 1442.497065 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 9 605367 0 0 0
"2571" 1434 "90min" 2 "K20" 1 1 NA 0 "DMSO" 913.5420744 1953.949119 1040.407045 0 0 36 36.88017783 24.03337969 1980.722222 15.67274452 0.007912641 1067.180148 15.67274452 0.014686128 2.439285714 0.07652511 0.031371934 0.410349684 0.012925664 0.031499144 1.28125 0.0625 0.048780488 0.385416667 0.046049275 0.1194792 0.895833333 0.055901699 0.062401897 2.361111111 0.373741274 0.158290422 2052 1744648.125 602.996399 4604279.5 0.293857894
