"Cell.line" "Timepoint" "Plate" "Well" "Rep" "Batch" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv" "Total.Cells" "All.Nuclei.Mean.Integr.Itensity" "Positive.W2.Mean.Stain.Area" "Positive.W2.Mean.Stain.Integr.Intens" "Cell.Positive.W2.Mean.Stain.Area"
"2246" 1434 "90min" 1 "F2" 2 13 141 25 "DMSO" 3607.072407 3607.072407 0 0 0 0 0 0 3607.072407 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 3 2592202.75 0 0 0
"2247" 1434 "90min" 1 "F2" 3 14 141 25 "DMSO" 3609.365949 3609.365949 0 0 0 0 0 0 3609.365949 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 32 183435872 24.615854 469093 0.769245438
"2248" 1434 "90min" 1 "F2" 4 15 141 25 "DMSO" 3625.369863 3625.369863 0 0 0 0 0 0 3625.369863 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 2 2734410 0 0 0
"2249" 1434 "90min" 1 "F2" 5 18 141 25 "DMSO" 4408.495108 4408.495108 0 0 0 0 0 0 4408.495108 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 5 1154372 0 0 0
"2253" 1434 "90min" 1 "F20" 1 1 NA 0 "DMSO" 966.2876712 1896.943249 930.6555773 0 0 37 37.33403996 24.70097357 1913.810811 15.96495787 0.008341973 947.5231396 15.96495787 0.016849148 2.409722222 0.076829537 0.031883151 0.41539961 0.013366124 0.032176544 1.263513514 0.057310859 0.045358327 0.385135135 0.054153671 0.140609533 0.878378378 0.062406086 0.071046928 2.337837838 0.455142914 0.194685408 1638 1981093.75 803.992737 5699959 0.490838057
"2254" 1434 "90min" 1 "F20" 2 13 NA 0 "DMSO" 2344.575342 5254.919765 2910.344423 0 0 31 34.72101071 18.62234682 5288.258065 40.11730112 0.007586109 2943.682722 40.11730112 0.013628269 2.879 0.083680427 0.029065796 0.34762726 0.010128663 0.029136561 1.608387097 0.062455145 0.038830917 0.430967742 0.063788967 0.148013321 1.177419355 0.070614812 0.059974224 2.803068875 0.515301131 0.18383463 1486 2914894.75 463.90625 8291297.5 0.312184556
"2255" 1434 "90min" 1 "F20" 3 14 NA 0 "DMSO" 1982.575342 4234.150685 2251.575342 0 0 36 41.46994705 21.62595114 4233.25 27.05483849 0.006391033 2250.674658 27.05483849 0.012020768 2.410571429 0.071740663 0.029760853 0.415197708 0.012402103 0.029870354 1.194444444 0.063084725 0.052815119 0.365 0.046383495 0.127078067 0.829444444 0.060707469 0.073190519 2.325307413 0.461577574 0.198501743 1613 3110681.25 471.414246 7509494 0.292259297
"2256" 1434 "90min" 1 "F20" 4 15 NA 0 "DMSO" 2461.003914 5704.09589 3243.091977 0 0 33 37.13676162 19.82180398 5731.272727 32.77696669 0.005718968 3270.268813 32.77696669 0.010022713 2.69125 0.06363961 0.023646859 0.37177657 0.008818968 0.023721149 1.366969697 0.053705496 0.039287993 0.442424242 0.064130253 0.144951942 0.924545455 0.061901682 0.066953638 2.147571016 0.42750597 0.199064881 1324 3706941.5 508.669403 7917200 0.384191392
"2257" 1434 "90min" 1 "F20" 5 18 NA 0 "DMSO" 3020.833659 6526.166341 3505.332681 0 0 38 42.61925628 21.14243323 6529.789474 30.87039857 0.004727625 3508.955814 30.87039857 0.008797603 2.532162162 0.069327529 0.027378787 0.395208237 0.010848529 0.027450159 1.536578947 0.062353669 0.040579542 0.495 0.067493743 0.136350997 1.041578947 0.058472739 0.056138557 2.153427563 0.383899205 0.178273563 1330 3521893.5 260.025909 3949146.25 0.195508202
"2261" 1434 "90min" 1 "F21" 1 1 NA 0 "DMSO" 953.0508806 2194.064579 1241.013699 0 0 35 35.20992521 23.36578581 2210.457143 13.79331223 0.006240027 1257.406262 13.79331223 0.010969654 2.555147059 0.082521671 0.032296251 0.39176551 0.01272731 0.03248706 1.453571429 0.068369363 0.047035434 0.464285714 0.064820372 0.13961311 0.989285714 0.07652511 0.077353902 2.186666667 0.432196851 0.197650999 1664 1991880 827.229492 6117168.5 0.497133108
"2262" 1434 "90min" 1 "F21" 2 13 NA 0 "DMSO" 2258.943249 4793.268102 2534.324853 0 0 34 38.52043616 20.42450941 4831.441176 32.33460589 0.006692538 2572.497928 32.33460589 0.012569342 2.594848485 0.070848483 0.027303514 0.385667162 0.010895324 0.028250587 1.463235294 0.057877645 0.039554571 0.400588235 0.051577607 0.128754673 1.062647059 0.063690008 0.059935241 2.698142415 0.3920051 0.145287031 1504 2881566 473.868805 8105337 0.315072344
"2263" 1434 "90min" 1 "F21" 3 14 NA 0 "DMSO" 2077.855186 4405.033268 2327.178082 0 0 36 41.03877549 21.62595114 4411.166667 29.57170462 0.006703828 2333.311481 29.57170462 0.012673706 2.435714286 0.069843763 0.028674859 0.410880812 0.011621571 0.02828453 1.1725 0.062809235 0.053568644 0.366944444 0.041735182 0.113737059 0.805555556 0.063084725 0.078312073 2.237871819 0.430398063 0.192324716 1703 2860443 412.609344 6205211 0.242283819
"2264" 1434 "90min" 1 "F21" 4 15 NA 0 "DMSO" 2297.078278 5177.459883 2880.381605 0 0 33 37.46110569 19.82180398 5187.212121 28.25526231 0.0054471 2890.133843 28.25526231 0.009776455 2.6678125 0.060574368 0.022705632 0.375023583 0.00839456 0.022384085 1.363939394 0.057551031 0.042194713 0.424848485 0.061650284 0.145111226 0.939090909 0.063853526 0.067995042 2.26562438 0.41290667 0.182248511 1333 3537937.75 484.356201 7704448.5 0.36335799
"2265" 1434 "90min" 1 "F21" 5 18 NA 0 "DMSO" 2943.084149 6399.561644 3456.477495 0 0 40 43.75179285 22.25519288 6433.275 38.98388063 0.006059726 3490.190851 38.98388063 0.011169556 2.467435897 0.081490004 0.033026189 0.405710245 0.013413207 0.033061051 1.436 0.067891316 0.047278075 0.45525 0.066370657 0.145789472 0.98075 0.072902728 0.07433365 2.208498893 0.408949069 0.185170602 1440 3416122 256.364868 4024051.75 0.178031158
